Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 []
27.281,0.0,-0.008238327982302436,0.013547862687502216,-0.27722556923803404,-0.041754824280216304,0.03058076788925907,0.0001565730428669214,0.008450749934357495
27.786,0.0,0.01893191313095352,0.0055073023777639975,0.028463806131161402,0.017767135438287836,0.005192853258261624,0.008699124434892591,0.006857572769870671
28.285,0.0,0.004877403292985751,0.01283194243526895,0.4502200482190785,0.0738304746921314,0.046478460845624056,0.0021013850432582003,0.016344298400807672
28.778,0.0,0.03361573334718366,0.00872099476278633,0.4573819119968533,0.0752449400614202,0.018990612910824045,0.00800503279205739,0.005288106595665247
29.277,0.0,0.014175981415357513,0.01997322745308687,0.5238475185721735,0.093710128152863,0.019048705261070834,0.02231281333821128,0.008606064302978335
29.777,0.0,0.010437578558958127,-0.01101694767667008,0.29153117291679614,0.04452152855165294,0.014128571855039487,0.006838536638964876,0.028995546058059707
30.293,0.0,0.03626031775347081,0.008882350115196029,0.912547753427623,0.08009113796178302,0.0057342432575344235,0.011752629613311907,0.02551173639261247
30.777,0.0,0.4342685845523124,13.049552771986304,7.580010972958989,0.8179132572550958,0.21517849152105975,0.04930875499744664,0.030136481983238317
31.277,0.0,0.42059950347751035,13.345825133778359,7.437001108846785,0.7747993645563515,0.2031355665484023,0.053021336366880244,0.049794054311650134
31.776,0.0,0.45439088221663326,13.76030551349031,8.572978399118051,0.8265618855685428,0.23210092071928046,0.0649507523096938,0.05419493403249426
32.287,0.0,0.3706309712240996,11.842694301352964,8.15728730114643,0.7497418929958287,0.20510932827258105,0.05275539823087619,0.04763249914255956
32.776,0.0,0.4482091800595539,13.752645044202056,8.973298582444793,0.869252492724938,0.22117474127859038,0.06848649672592325,0.08623841834318063
33.278,0.0,0.43738208123331124,13.19174821093288,8.29372345045478,0.7636663083495083,0.22406850682460688,0.055721762096115277,0.041041972835864395
33.778,0.0,0.4516715666488247,13.806901520409353,7.869898332251564,0.762142123385631,0.23647019905166097,0.04824421101328482,0.05603302962144058
34.277,0.0,0.4187579464614902,13.601907932996946,9.248130435448678,0.8119207387074906,0.2127412098421348,0.04474737025076862,0.03980648310613635
34.788,0.0,0.4251973063819872,11.94895527284545,8.03541656327686,0.7806521994458675,0.18039290683428316,0.060609144423213995,0.05793494795910668
35.278,0.0,0.4038956029373674,13.414213613442355,7.626730292861225,0.7977351230662822,0.21977556530495487,0.04326296861601355,0.04365887039832501
35.777,0.0,0.4467474744295279,13.834693132192715,8.592934897230212,0.7726404912121977,0.2146376841612721,0.05847313000108767,0.04366520127855397
36.288,0.0,0.3737858166606969,11.783212255489898,7.582652891427186,0.7159799470887265,0.18877590593071542,0.04351420470652762,0.03490947256749365
36.778,0.0,0.47138517901124827,13.684107024610647,8.354792870377226,0.801982424754758,0.22421433538284632,0.059408030038580514,0.029858916484780257
37.276,0.0,0.46732410041169786,14.08208346517863,8.488390850407091,0.8614944295339011,0.21910971034740248,0.0473911232352351,0.03829066909070402
37.786,0.0,0.3899940483878605,12.291017851345321,7.972277009833991,0.7355230410203701,0.20593068913370843,0.06102397503167646,0.04221421464228157
38.276,0.0,0.4205611179930166,14.478020715385433,8.405265272271492,0.8124914658046675,0.22334009690161874,0.05063124502603079,0.04868641976619654
38.789,0.0,0.3812200899312778,11.82954807735061,7.301521997300569,0.7812484140089102,0.1966694236867928,0.047898157880779314,0.06445267533896597
39.278,0.0,0.44221457505473194,13.887595630719256,8.760743840171482,0.8996860221830599,0.2296428803101961,0.05974837695548313,0.07703354686198183
39.777,0.0,0.42920683488843725,13.60360753213704,8.956487756524028,0.8017633378976341,0.21522968233046164,0.05977981121666601,0.059366446468660676
40.278,0.0,0.4280511721415906,13.844733325458009,8.472953558372296,0.8952913207369781,0.21046724220852767,0.04037182914818767,0.04337607701849798
40.776,0.0,0.0008078865183555716,0.056018437827512195,1.3456512833480394,0.059281059684597376,0.026512298612482783,0.016210668566985588,0.009317651985909333
41.288,0.0,0.005156758176541885,0.02319052855579341,0.48120703216522803,0.13827008477712782,0.011444987918262817,0.00617829773454602,0.020375429576001757
41.776,0.0,0.008933832810203416,0.03388127794958033,0.638099158266559,0.05150076831463384,0.029497714860010422,0.017260035339537738,0.00017188910585666831
42.287,0.0,0.01793921327744759,0.01995989632878576,0.8599200148144808,0.1201902220503738,0.00873239412502274,0.0010833023892141043,0.004973140104286334
42.777,0.0,0.02257815268992507,0.020749713378990894,0.046660278638910445,-0.002981644887059096,0.02347209748216274,-0.004966543348727235,-0.03117363965834997
43.277,0.0,0.0020906629076754965,0.043367824378071386,0.6232456528437392,0.12309072428970329,0.021287423064524188,0.008601551829686685,0.030810185144824052
43.777,0.0,-0.019683714110872812,0.0043946058797956124,0.10269180969670444,0.001159528567189551,-0.010015295299807164,-0.011682086995809795,-0.007624849575832072
44.278,0.0,0.005160319635048357,0.003568838918997158,0.6576483352693868,0.021545960189160752,0.02598868069938855,-0.00037598423676344804,0.004037244192935147
44.785,0.0,-0.000964426433836683,0.010331027363103387,-0.033908360219075284,0.08581006820253728,-0.0037560949925519583,-0.0012660900192210034,0.0004821496955209946
45.277,0.0,0.045496677498145996,0.011950214378955439,0.9039325331369423,0.015372464458220783,0.02275114510686888,0.007823273036946623,0.018860423382632042
45.788,0.0,0.03778218311638224,0.03259147864170231,0.2247186752203944,0.06426081912547842,0.021005407422465264,0.02289490894311043,0.03786464589142312
46.278,0.0,0.010612410403714986,0.01594097689476826,0.26284356086332383,0.03442282739342842,0.0356332966378915,0.014914367559735964,0.026920032004624433
46.782,0.0,0.016504773907716683,0.02117532781725106,0.9651700541328525,0.07768709731692007,0.03030569937364628,0.017282221121369817,0.012151552717630075
47.281,0.0,0.007360181858708977,0.025113706183187555,0.9075574707819783,0.08941458548488153,-0.0001604329730091322,0.009727853556576004,0.027597022715067247
47.784,0.0,0.00969894411527713,0.0005512848736930505,-0.09679393594342424,0.02295118798505499,0.006962187972012081,0.005563130918260573,0.011287924239462059
48.283,0.0,0.021141957367341643,0.023737204397056805,-0.07234813870233398,0.09183146615747544,0.00891261540192445,0.0038850123208886995,0.0003164963401472162
48.785,0.0,0.02898509155862546,-0.0043661295840733095,1.223704121805715,0.10282152349760902,0.0006343799171347517,0.014292901999566426,0.020596108365151987
49.276,0.0,0.008987668697178987,0.014309150290410357,0.7529579965872215,0.0969239341011852,0.021780326983666835,0.015993480775895588,0.017949799765012577
49.794,0.0,0.018604990782153018,0.01769515764975601,0.6219976143581222,-0.005434077550279726,0.009983178768977223,0.012843187630038716,0.025201357671791578
50.277,0.0,0.017218875527597974,0.02514147391008941,0.4254515096743319,0.05138497872759029,0.020028809539623632,0.009250199236490403,0.007616113503570771
50.777,0.0,0.012632506318643487,0.022021338661756665,0.30238011379578245,0.019843011574123593,0.01367933964414854,0.014564964656607143,0.034652015479864816
51.288,0.0,0.017675989465034746,0.01340635461581662,0.7519960340439553,0.04320682285639973,0.011671245269496353,0.023303398794438636,0.016764603655798984
51.779,0.0,0.019227290456489993,0.008070550705335303,0.5112596924942823,0.0021132523806642513,0.025757644311742035,0.011725755046908653,0.010105274383926865
52.278,0.0,-0.001176480938322369,0.0014632270514276762,0.3311004364170777,0.013338568640879839,-0.0024907844756511762,-0.0012462855233920016,0.022784692843080406
52.777,0.0,0.017347925011431568,0.02593689855654944,0.2777109527906038,0.12967023514609213,-0.010396537129845935,0.023740508865212197,0.0358092056120033
53.287,0.0,0.027792460145993302,0.029114653960292686,0.7852265205779686,0.12617672612667652,0.013689302056851415,0.014798223971412,0.024512148918030583
53.778,0.0,0.013193928358413145,0.026421415957088374,1.1172693336988724,0.07600125770385631,0.000690725110345834,0.02183997588422524,0.03393550254699156
54.278,0.0,0.01214236389776009,0.02353095612517946,-0.013011503037234733,0.08642473513423399,0.0004753921771409537,0.004951762721870978,0.002504533635598453
54.778,0.0,0.017154762786971717,0.037483238305832306,1.4572520704613068,0.04303035377959667,0.028788056483859563,0.02029205154281592,0.025541040602708162
55.277,0.0,0.025753244361983618,0.020168792962765556,1.4271368600653471,0.06260415041490808,0.029524685170096494,0.027967504286478054,0.030964513557165545
55.778,0.0,0.013961094751390148,0.008907687812215239,0.7660921086004032,0.04300399608355081,0.0060258418143217,0.02433698914950174,0.030347835420374374
56.277,0.0,0.01689986848670566,0.018885191723010383,1.0926203415791123,0.08138843410971025,0.003691567344591983,0.012100241776751093,0.02459998993613911
56.778,0.0,0.013801256372556138,0.016166723868538947,0.10547413892469086,0.04678768106300286,0.005143264593460166,0.020673990583338478,0.033643343155262635
57.278,0.0,0.011512282182136489,0.013720978219490995,0.39226033188447773,-0.03219051524778848,0.016065902043601126,0.006290237573036435,0.020410720630033817
57.788,0.0,0.0025127700924732176,0.02589811374497345,0.4972286757713416,0.055213555927792,0.03250161063323205,0.02331798915510348,0.021445119245901503
58.277,0.0,0.014074986003925536,0.03193461509354623,0.4822024200961814,0.050511602808739835,0.02880098779812008,0.014717686874475286,0.01978834607919707
58.788,0.0,0.00043354648513374864,0.016288272978365218,0.6250388189741906,0.004943464674923009,0.019600889540356357,0.009300064838381592,0.017175645440546523
