ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.18 [],42.277,12.277,30,50,20s4
ROI.18 [],113.778,33.778000000000006,80,100,20s4
ROI.19 [],41.788,11.787999999999997,30,50,20s4
ROI.19 [],67.789,37.789,30,50,20s4
ROI.19 [],115.288,35.288,80,100,20s4
ROI.19 [],152.278,22.27799999999999,130,150,20s4
ROI.20 [],42.79,12.79,30,50,20s4
ROI.20 [],111.777,31.777,80,100,20s4
ROI.21 [],41.277,11.277,30,50,20s4
ROI.21 [],111.277,31.277,80,100,20s4
ROI.E [],119.788,39.788,80,100,20s6
ROI.09 [],118.79,38.790000000000006,80,100,20s6
ROI.10 [],119.788,39.788,80,100,20s6
ROI.11 [],118.276,38.276,80,100,20s6
ROI.12 [],119.788,39.788,80,100,20s6
ROI.13 [],120.277,40.277,80,100,20s6
ROI.14 [],119.277,39.277,80,100,20s6
ROI.16 [],119.788,39.788,80,100,20s6
ROI.17 [],119.277,39.277,80,100,20s6
ROI.18 [],119.277,39.277,80,100,20s6
ROI.19 [],119.277,39.277,80,100,20s6
ROI.20 [],80.778,0.7780000000000058,80,100,20s6
ROI.20 [],119.277,39.277,80,100,20s6
ROI.21 [],119.788,39.788,80,100,20s6
ROI.23 [],58.778,28.778,30,50,20s6
ROI.23 [],66.778,36.778000000000006,30,50,20s6
ROI.23 [],85.778,5.778000000000006,80,100,20s6
ROI.23 [],109.779,29.779,80,100,20s6
ROI.23 [],133.778,3.777999999999992,130,150,20s6
ROI.23 [],155.288,25.28800000000001,130,150,20s6
ROI.23 [],160.779,30.779,130,150,20s6
ROI.23 [],175.778,45.77799999999999,130,150,20s6
ROI.B [],128.28,48.28,80,100,20s7
ROI.B [],145.277,15.276999999999989,130,150,20s7
ROI.B [],151.277,21.276999999999987,130,150,20s7
ROI.22 [],35.283,5.283000000000001,30,50,20s7
ROI.22 [],83.276,3.275999999999996,80,100,20s7
ROI.22 [],102.777,22.777,80,100,20s7
