ROI,start_s,end_s,duration_s,peak_to_peak
ROI.02 [],136.278,146.278,10.0,0.3660619127895599
ROI.02 [],136.777,146.777,10.0,0.3660619127895599
ROI.02 [],137.278,147.278,10.0,0.3660619127895599
ROI.02 [],137.788,147.788,10.0,0.3660619127895599
ROI.02 [],138.278,148.278,10.0,0.3660619127895599
ROI.02 [],138.777,148.777,10.0,0.3660619127895599
ROI.02 [],139.287,149.287,10.0,0.3660619127895599
ROI.02 [],139.778,149.778,10.0,0.3660619127895599
ROI.02 [],140.277,150.277,10.0,0.3660619127895599
ROI.02 [],140.776,150.776,10.0,0.3660619127895599
ROI.02 [],141.284,151.284,10.0,0.3660619127895599
ROI.02 [],141.778,151.778,10.0,0.3660619127895599
ROI.02 [],142.277,152.277,10.0,0.3660619127895599
ROI.02 [],142.788,152.788,10.0,0.3660619127895599
ROI.02 [],143.28,153.28,10.0,0.3660619127895599
ROI.02 [],143.784,153.784,10.0,0.3660619127895599
ROI.02 [],144.283,154.283,10.0,0.3321727491864783
ROI.02 [],144.777,154.777,10.0,0.3321727491864783
ROI.02 [],145.277,155.277,10.0,0.20283373623953982
ROI.02 [],145.778,155.778,10.0,0.20283373623953982
ROI.02 [],146.278,156.278,10.0,0.20283373623953982
ROI.02 [],146.778,156.778,10.0,0.20283373623953982
ROI.02 [],147.287,157.287,10.0,0.20283373623953982
ROI.02 [],147.777,157.777,10.0,0.20283373623953982
ROI.02 [],148.278,158.278,10.0,0.20283373623953982
ROI.02 [],148.787,158.787,10.0,0.20283373623953982
ROI.02 [],149.279,159.279,10.0,0.18026490787760502
ROI.02 [],149.778,159.778,10.0,0.18026490787760502
ROI.02 [],150.288,160.288,10.0,0.18026490787760502
ROI.02 [],150.777,160.777,10.0,0.14724135868188565
ROI.02 [],151.288,161.288,10.0,0.14724135868188565
ROI.02 [],151.777,161.777,10.0,0.14724135868188565
ROI.02 [],152.277,162.277,10.0,0.12513720263976544
ROI.02 [],152.778,162.778,10.0,0.05314275557839273
ROI.02 [],153.277,163.277,10.0,0.05314275557839273
